Ni09_01_001|これは、士道くん。　〈フラクシナス〉に御用ですか？
Ni09_01_002|いえ、司令は席を外しておられます。　私で良ければ、質問にお答えいたしますよ？
Ni09_01_003|……ちょっとしたシミュレーション中です……
Ni09_01_004|ハハハ、嫌だなあ、士道くん。目の錯覚ですよ……
Ni09_01_005|おや、士道くん。　君もお買い物ですか？
Ni09_01_006|そうです、必需品の補給ですよ
Ni09_01_007|大半の物資は〈ラタトスク〉経由で補給されるんですが、　どうしても自分の足で買いに行かねばならないものも　あるんですよ
Ni09_01_008|もちろんこれですよ！　今日発売の新作恋愛ゲーム　『学園探偵団スキャンティーズ』の初回限定版ですよ！
Ni09_01_009|特にショップ限定特典のクリアホルダーのイラストが、　この機を逃すと二度と手に入らないかもしれないという……！
Ni09_01_010|……ああ、いけない！　こんな所で時間を潰していたら、　列が伸びてしまう！　それでは士道くん、失礼しますよ！
Ni09_01_011|やあ、これは士道くん
Ni09_01_012|……いや、実はみんなでちょっと賭けをしていまして……
Ni09_01_013|ええ、司令の今日の下着の柄は何かと……
Ni09_01_014|私は、今日は縞柄の気分ではないかと思うんですが……。　士道くん、実兄の意見としてはいかがです？
Ni09_01_015|それはもう、命をかけた勇者が皆を代表して……
Ni09_01_016|……それはもう、願ってもないっ！！
Ni09_01_017|ああ、士道くん……。　実は、司令に緊急の連絡があったのですが……
Ni09_01_018|ああ、確かにそうですね……
Ni09_01_019|…………
Ni09_01_020|……この家には司令の部屋が……あるんですよね？
Ni09_01_021|……ちょっと、覗かせていただけませんでしょうか？
Ni09_01_022|そこを何とか！　司令の普段の生活を把握しておくことは、　副司令として当然の……！！
Ni09_01_023|……士道くん、いけず……
Ni09_01_024|ああ、士道くん……ちょっとした事件がありましてね
Ni09_01_025|ええ、天宮市に新しく建造されたタワーの件でね
Ni09_01_026|はい、実は昨夜、あのタワーの記録を調べてたんですが……。　おかしいんですよね
Ni09_01_027|いいえ、その逆です
Ni09_01_028|……〈フラクシナス〉のコンピュータには、天宮市はおろか、世　界中のあらゆる建造物のデータが入力済みのはずなんですが……　新天宮タワーの記録がどこにも見当たらなかったんです……
Ni09_01_029|初めは私もそれを疑いました。　しかし、我々がそんな凡ミスをするはずがありません……
Ni09_01_030|仮に考えられるとしたら……
Ni09_01_031|私が司令の画像を編集していた際、興奮しすぎてコーヒーを　コンソールにぶちまけてしまったことがあるのですが……　あの時点で、異常が起こっていたとは考えにくい……
Ni09_01_032|あっはっは。大したことではありませんよ
Ni09_01_033|まぁ、今度お見せしますよ。楽しみにしていてください
007_00_00_039_09|――は。　既に、天宮市内を捜索しています
