Ri05_06_001|士道！　戻ってこれたの
Ri05_06_002|ええ。どうやら出してくれたみたいね。　だけど……天宮市全体の様子がおかしいわ。　特に新天宮タワー……あれの禍々しさは半端じゃないわ
Ri05_06_003|……士道がそこまで言うなら、私は何も言わないわ
Ri05_06_003_2|まぁ、巻き添えを食いたくないっていうのは本当でしょうし、　利害が一致している間は信用してあげる。自分の置かれている　状況がわからないような阿呆にも見えないしね
Ri05_06_004|――で、どういうことなの士道？
Ri05_06_005|凜祢が……いなくなった？
Ri05_06_006|なるほど……それは心配ね。　……で、他に気付いたことはないの？
Ri05_06_007|……そ。ふーん、まぁそういうことにしてあげるわ
Ri05_06_008|――士道、時間がないわ。　のんびりしてたらこの世界が崩壊するわよ
Ri05_06_009|士道……あなたやっぱり、底知らずの馬鹿ね
Ri05_06_010|別に、悪いだなんて言ってないわ。　――行くわよ、敵の居城へ。　〈[ラタトスク*私たち]〉の役目は士道のサポートだしね
Ri05_06_011|……本当なら、再生能力のないあなたを連れていくべきじゃない　のかもしれないけれど……〈ルーラー〉が精霊だとするなら、　あなたの能力で力を封印することができる可能性があるわ
Ri05_06_012|頼みの綱は士道、あなたよ。　でも――くれぐれも気を付けてちょうだい。　今のあなたはすぐに死んじゃうんだから
Ri05_06_013|士道、私たちが力を貸すんだから、全部終わったら――
Ri05_06_014|わ、わかってるじゃない。……絶対よ？
Ri05_06_015|この状態であまり悠長なことはしてられないわね。　行くわよ、士道
Ri05_06_016|そうね。恐らく、結界を支えているコアのようなものも、　あそこにあるわ
Ri05_06_017|さっき試したんだけど、新天宮タワーの周りには結界があって、　外敵の侵入を阻んでいるの
Ri05_06_018|――士道、遊んでないで始めるわよ？　そう時間はないわ
Ri05_06_019|それじゃ、役割分担が必要ね？
Ri05_06_020|フッ――！
Ri05_06_021|天宮タワーのモニュメントは……そうね、四糸乃とよしのん、　あなたたちでやれる？
Ri05_06_022|頼んだわよ。四糸乃、よしのん
Ri05_06_023|取水塔は――
Ri05_06_024|鳶一折紙？
Ri05_06_025|ふん……装備なしでやれるっていうの？
Ri05_06_026|そ。なら……ＡＳＴの[魔術師*ウィザード]の力を見せてみなさい
