Ri04_06_001|あら、心配事はそれだけでして？
Ri04_06_002|ええ。この件については、協力をお約束いたしますわ。　わたくしも巻き添えを食うのは御免ですもの。　――もちろん、信用してくれというつもりもありませんけれど
Ri04_06_003|あらあら……士道さんにそこまで言われたら、　わたくしも頑張らないわけにはまいりませんわねぇ。　でも、一体どういう心境の変化なんですの？
Ri04_06_004|へぇ……そうなんですの。　わたくしにはまるでその記憶がありませんけれど
Ri04_06_005|うふふ、なるほど……面白い考え方ですわね。――それで、　そういうことらしいですけれど、あなたはいかがいたしますの？　いつまでも睨まれていては、疲れてしまいますわよ？
Ri04_06_006|……一応、褒め言葉として受け取っておきますわ
Ri04_06_007|……全く、士道さんは誰にでもお優しいんですのね
Ri04_06_008|うふふ、何でもありませんわ。　お話がまとまったのでしたら、そろそろ行きませんこと？
Ri04_06_009|あら、そう見えまして？　でも、仕方ないではありませんの。　士道さんはわたくしには優しくしてくださらないんですもの……
Ri04_06_010|士道さんのためなら、ひと肌でもふた肌でも……。　好きなだけ脱いで差し上げる覚悟をしていますのに
Ri04_06_011|ふふ、でも残念ながら、それはしばらくお預けですわね。　……まずは、〈ルーラー〉に会いに行かなければ　なりませんものね
Ri04_06_012|可能性はありますわ。でも、その前に寄り道が必要ですわね
Ri04_06_013|ええ、結界の[要*かなめ]を破壊しないことには近づけませんわ
Ri04_06_014|うふふ……そしてラストは神社、ですわね。　この三点が新天宮タワーの結界を支えている[要*かなめ]なのでしょう？
Ri04_06_015|……わたくしの出番で、よろしくて？
Ri04_06_016|あら、全くつれないですわねぇ……きひ、きひひ……上等ですわ。　あの程度……わたくしが一瞬で食らい尽くして　差し上げましてよ？
Ri04_06_017|ひひ、ひひッ……！　あなたとの決着も、楽しみにしておりますわァ
Ri04_06_018|士道さん、心配ならご無用ですわ。　わたくしなら、すぐに戻って参りましてよ
Ri04_06_019|それでは、ごきげんよう
Ri04_06_020|……よくよく縁があるようですわね。ここには――
Ri04_06_021|うふふ……さあ、おいでなさい？
Ri04_06_022|あら、あなたがわたくしのお相手をしてくださるんですの？
Ri04_06_023|あッははははははははは！　どこを狙っておりますの？　わたくしは――
Ri04_06_024|――こちらでしてよ！
Ri04_06_025|ふふッ……心配なさらないで。　お楽しみは――これからですわ
Ri04_06_026|あらあら、またたくさんのお仲間が……　これでは埒があきませんわねえ
Ri04_06_027|うふ、うふふ……。ああ……怖いですわ。恐ろしいですわ！　こんなにもか弱いわたくし相手に、こんな多勢で……
Ri04_06_028|ひひ……ひひひッ……ちょっと、時間をかけすぎましたわね。　わたくしも、そろそろ本気を出さないと。　あまり士道さんを待たせたくはないですし……
Ri04_06_029|ねえ、そうでしょう？　わたくしたち――
Ri04_06_030|さあさあ、どちらが多勢でどちらが無勢か――　教えて差し上げますわァ！
Ri04_06_031|くすくす……
Ri04_06_032|あら、あら
Ri04_06_033|うふふ……
Ri04_06_034|きひ、きひひ！
Ri04_06_035|あはははははッ！
Ri04_06_036|士道さん……もう少しだけお待ちくださいまし
Ri04_06_037|さあ、さあ
Ri04_06_038|いひひひ……！
Ri04_06_039|ふふっ
Ri04_06_040|いかがでして？　わたくしたちは……！
Ri04_06_041|あら……まだ抵抗する気なんですのォ？
Ri04_06_042|あまり美味しそうではありませんけれど……今は、そう贅沢を　言っていられませんわね！
Ri04_06_043|ひひ……ひひ！　きひひひひひひひっ！
Ri04_06_044|きひ！　きひひ、きひひひひひひひッ！　わたくしたち！　よろしくってよ！　よろしくってよォっ！
Ri04_06_045|さあ、終わりにしましょう。全て飲み込んでさしあげますわァ！
Ri04_06_046|……思いのほか、時間をかけ過ぎてしまいましたわね
Ri04_06_047|士道さんがまだ無事だといいのですけれど……
Ri04_06_048|……駄ァ目ですわよ？　おしゃべりに夢中になり過ぎて、　余所見ばかりしていては
