K14_02_001|すみません。先生に言っておいてって言われたの、　すっかり忘れてましたー
To14_02_001|へー、二人で仲良く応援なんて、　殿町くんと付き合ってるって噂、本当なの？
To14_02_002|両刀の殿町くんに寝取られたなんて、残酷すぎる結末よね
To14_02_003|十香ちゃんの応援は五河くんに任せておいて、　私たちと校舎裏に行きましょ？
To14_02_004|十香ちゃん裏切ったら、磔、獄門確定だよ？
To14_03_001|亜衣、いい仕事したわね。　十香ちゃんのピュアな乙女道には必須アイテムだもんね
To14_03_002|そうだよね！　女を磨くなら、さりげなく！　これってば永遠のテーマだから！
To14_03_003|十香ちゃん！　あいとー！　あいとー！
To14_03_004|いつからいたの？　まさか、ずっと見てたんじゃないでしょうね？
To14_03_005|邪魔者は退散！　退散っと！
To14_04_001|大丈夫！　純真な十香ちゃんの乙女心に磨きがかかれば、　もう誰も止められないわよ！
To14_04_002|そうよ、言いがかりもいいところだわ！
To14_04_003|私たちの万全なバックアップがあるからこそ、五河くんだって、　デレデレ鼻の下伸ばしっぱなしで過ごせてるんじゃない
To14_04_004|もしも十香ちゃんを泣かせたら、　お母さんに頼んで天井に吊るしてもらうわよ？
To14_04_005|『お願いです。もう許してください！』って、　泣いて詫びるまで、車のバッテリーから電流流しちゃうから！
To14_04_006|あ、亜衣、まさか……ッ！
To14_04_007|亜衣！　それは自分で使うつもりだったんじゃ――
To14_04_008|と、十香ちゃん……ッ！　黙って受け取ってあげて……ッ！
To14_04_009|まあ、いろいろと参考にはなるんだけど……
To14_04_010|で、今日はそのチケットでこっちから押してみるのね！？
Ni14_01_001|また誰かをたぶらかすつもりで歩き回ってるのね！？
Ni14_01_002|豚の餌！
Ni14_01_003|敵艦見ゆ！　ヨーソロー！
Ni14_01_004|あ、待て、コラー！
Ni14_01_005|探せ！　一刻も早く見つけないと！
Ni14_01_006|かわいそうな十香ちゃん……
Ni14_01_007|……そうかもね。　自分のことも顧みず、ただ十香ちゃんの幸せを願って……
Ni14_01_008|……さあ、私たちからのこのプレゼントを受けなさい
Ni14_01_009|今、なんて……？
Ni14_01_010|……なんですって！？
Ni14_01_011|待てい、五河士道！
Ni14_01_012|いやいや、あたしは、なんか年上の美人ＯＬと一緒に　ホテル街入ってくの見たって聞いた！
Ni14_01_015|……言われてみると、なんだか記憶が曖昧な気が……
003_02_59_007_14|しかも公衆の面前で……デリカシーってやつはないのかしら？
003_02_59_010_14|ちょっとモテるからって調子に乗ってない？
003_02_59_013_14|……はいっ！？
003_02_59_016_14|きゃーっ、お母さーん！
010_02_00_021_14|おうおう、余裕のご出勤ですなぁ～
010_02_00_024_14|初歩的な推理ですよ、ワトソンくん。　我々の名字は……
010_02_00_027_14|そして答えはこれで明確だよワトソンくん。　一番早くても、私の『は』だからね
010_02_00_030_14|『い』と『は』では、　その差、実に……数分！
015_02_00_022_14|ええ、奥様。　いまどき『だーりん』て、ありえませんわ。　それにしても、また新しい女ですのね、五河さんてば
015_02_00_070_14|英語の授業だからＡとかＢとか……みたいな、　どうしようもない言い訳まで用意してそうね
018_01_00_062_14|……今ならまだ間に合う。　親御さんの元に返してやりなさい
018_01_00_065_14|しかも若干、昭和の匂いがするわ……。　もっと新しい感じにしてよ。ＡＭＭ４８とか
502_02_02_006_14|鳶一さん、こっちも聞きたいことがあるんだけど
506_04_50_021_14|最低。女の敵ね
506_04_50_054_14|ゴミに悪いよ
