003_01_00_005_24|だーかーらぁ～。　だーりんはこれから、私とデートするんですよ。デート
003_01_00_007_24|えー、だーりんと私はラブラブなんですから、　デートくらいしますよぉ。　ねっ、だーりん？
003_01_00_009_24|あらー。　前はあんなに、姉上様～って、慕ってくれたのにー
003_01_00_019_24|私が最初にだーりんをデートに誘ったんですからぁ。　行くなら、当然私とですよね。だーりん？
003_02_01_004_24|ええ～、十香さんずるいですぅ。　だーりん、この前のお茶も途中で中断だったじゃないですかぁ。　だから、かわりに私とデートしましょうー
003_02_02_004_24|ええ～、ずるいですぅ。　話があるなら今ここでパパっと済ませてぇ、　私とデートしましょうよぉ、だぁりーん
003_02_03_001_24|さあ、だーりん。デートにレッツゴーですぅ
003_02_03_006_24|ええー！？　急用ってなんですか、だーりんっ！
003_02_04_001_24|さあ、だーりん。私とデートしましょうー
003_02_04_006_24|ああん、だーりんっ！　どこへ行くんですかぁ！
003_02_05_001_24|えへへ、だーりん。さあ、行きましょうー
003_02_05_008_24|ああん、どこへ行くんですかぁ、だーりんっ！
003_02_10_001_24|だーりん。さあ私を選んでください！
003_02_11_001_24|さあ、行きましょう、だーりん。　とりあえず他の子は置いておいていいじゃないですかぁ
003_02_24_001_24|えへへ、だーりん。嬉しいっ！
003_02_24_010_24|ああん、だーりんったら積極的ですぅ
003_02_24_011_24|うふふ、だーりん。どこ行きますー？
003_02_24_012_24|なんですかー、だーりん？
003_02_24_013_24|そうですよー。だーりんのおかげですぅ
003_02_24_014_24|だーりんが、何があってもずっとファンでいてくれるって　言ってくれたから、私、もう一度真面目にやり直すことに　したんですよー
003_02_24_015_24|今日はオフですからー、大丈夫ですよぉ。　うふふ、だーりんったら優しいですぅ
003_02_24_016_24|はいっ。　だーりんと二人で歩きたいですぅ
003_02_24_017_24|ふふ、いい天気ですねー
003_02_24_018_24|そうですかー？
003_02_24_021_24|ええー。そんなことないですー。　私なんてまだまだですよー
003_02_24_022_24|どうしたんですかー、だーりん？
003_02_24_023_24|あはは、本当ですねぇ。私ですぅ
003_02_24_024_24|いいじゃないですか、バレたって。　私は気にしませんよー、そんなの
003_02_24_025_24|だって私はアイドルですけどぉ、　それ以上にだーりんの美九ですもんっ♪
003_02_24_028_24|大丈夫ですって。　まさか本人がこんな堂々としてるなんて思いませんよぉ
003_02_24_029_24|ええー、そうなんですかぁ
003_02_24_030_24|じゃあ移動します？　私はだーりんと一緒ならどこでもいいですー
003_02_24_033_24|ええー、また走るんですかー？
003_02_28_001_24|さあ、行きましょう、だーりん。　他の子は置いておいていいじゃないですかぁ
003_02_28_021_24|はぁ……はぁ……だーりん……。　ずるいですぅ。急に走り出すなんて反則ですぅ
003_02_50_004_24|ええ～、だーりんっ。　確かに耶倶矢さんと夕弦さんはかわいいですけどー。　今日は私とデートしてくれなきゃ嫌ですぅ
003_02_59_001_24|ああん、だーりん。早く来てくださいー。　私と一緒に楽しいことしましょうよぉ
003_02_59_022_24|でも、こういうだーりんも格好いいですぅ
004_00_00_010_24|だーりん、この後一緒にディナーに行きましょー。　美味しい和食のお店を見つけたんですぅ
004_00_00_029_24|確かに、だーりんの萌え萌えする顔は、　見てみたいですぅ。　うふふー、きっと可愛い～ですよぉ
004_00_00_085_24|いや～ん、ぶつかっちゃいましたぁ
004_00_00_086_24|遅刻しそうだったから～、　パンを咥えて走ってたんですぅ。　そうしたら……まさかだーりんと出会っちゃうなんてぇ
004_00_00_087_24|あん♪　だーりんてば、こんなところで大胆ですー
004_00_00_090_24|そうですよぉ～。　ちょっとだーりんが私の体に夢中になっている……　それだけですよ～
004_00_00_092_24|ずっとくっついていてもいいのに、　だーりんは照れ屋さんですね～
004_00_00_093_24|でも、これで、だーりんと私は運命の出会いをしたので、　次は、運命的な再会をしましょうねぇ
