Ri02_06_001|士道、私は？
Ri02_06_002|構わない。〈ルーラー〉が精霊なら……無関係とは言えない
Ri02_06_003|私も――
Ri02_06_004|……言ったはず。士道が危険に首を突っ込むのを、　黙って見ているわけにはいかない
Ri02_06_005|それに、士道のサポートが夜刀神十香だけでは心許ない
Ri02_06_006|言葉そのままの意味。　あなたの幼稚園レベルの読解力には憐みすら覚える
Ri02_06_007|……士道がそういうなら
Ri02_06_008|池の取水塔で変な敵に襲われた。あそこも[要*かなめ]？
Ri02_06_009|私が行く
Ri02_06_010|あなたのためではない。士道のため。　それに、あの場所には少し、因縁がある……
Ri02_06_011|問題ない。もし市内全域がここと同じように無人なら好都合。　――とっておきを、取りに行く
Ri02_06_012|……士道、待ってて
Ri02_06_013|問題ない。むしろ一人のほうが動き易い。　精霊と一緒だと、手元が狂ってしまいそう
Ri02_06_014|五河琴里……私が士道の傍を離れる間、必ず守って。　危険な目に遭わせたら、許さない
Ri02_06_015|……
Ri02_06_016|……もう、始まっている。急がないと
Ri02_06_017|目標確認……！　これが、とっておき！
Ri02_06_018|はぁ――！
Ri02_06_019|く――やはり。個体をどれだけ倒しても無駄
Ri02_06_020|予想通り、増え続けている……
Ri02_06_021|……約束は、絶対に守る！
Ri02_06_022|塔ごと、消えてもらう……！　ミサイルユニット、全弾、座標固定！　〈ブラスターク〉！　同時展開準備！
Ri02_06_023|[随意領域*テリトリー]凝縮……。　〈ホワイト・リコリス〉、臨界駆動……！
Ri02_06_024|――討滅せよ！　〈ブラスターク〉！
Ri02_06_025|はぁ……っ、はぁ……っ、はぁ……っ、はぁ……っ
Ri02_06_026|や、やった？　く――！
Ri02_06_027|活動、限界……？　はぁ……っ、はぁ……っ、リコリスは、もう使えない……
Ri02_06_028|士道……私が行くまで、無事でいて……
Ri02_06_029|……士道、遅くなった。ごめん
Ri02_06_030|――！？　士道、後ろ！
Ri02_06_031|士道、私がサポートする。安心して欲しい
Ri02_06_032|士道、ごめん……な、さい……
K02_01_001|士道が行くなら私も行く
K02_01_002|大丈夫……これはチャンス
K02_01_003|大人の階段でムフフな展開。むふっふ
K02_01_004|お見舞いのときより、一段上が希望
K02_01_005|？
K02_01_006|問題ない。士道の体温は堪能した
K02_01_007|……士道、一緒に来て
K02_01_008|順番は関係ない。　あなたに病み上がりの士道の世話は任せられない
K02_01_009|私は体温計を入れてもらったことが――
K02_01_010|士道がそこまでいうなら、この話はしまっておいてもいい。　しかし、今の話は詳しく聞かせてもらう
K02_01_011|……やはりその程度。それが、あなたの限界
K02_01_012|私は汗を拭きとったりはしない。士道から噴出した汗は　すべて私が――
K02_01_013|看病の話
K02_01_014|士道、急いで。席が取れなくなる
K02_01_015|……
K02_01_016|士道と私の未来のこと。あなたが気にする必要はない
K02_01_017|ニンジンよりも大根を食べるべき
K02_01_018|ビタミンＣの摂取は重要
K02_01_019|セロリで食物繊維
K02_01_020|……士道！？
K02_01_021|……士道、怖い
K02_01_022|無理。怖くて動けない。だからこうしているのは仕方のないこと
K02_01_023|士道、怖い。離れないで
K02_01_024|とりあえず、それが終わるまでは待つ……
K02_01_025|白百合。お供え用
K02_01_026|きらい？
K02_01_027|そう
K02_01_028|神隠しかもしれない。『[天狗牛*てんぐうし]』の祟り
K02_01_029|来るはずの人が来ない。これは神隠しだとしか思えない状況
K02_01_030|あなたには関係ない。先にお供え物をした人が　士道を一日自由にできる権利を得るということは
K02_01_031|鳴き声。恐らく、『[天狗牛*てんぐうし]』……
K02_01_032|……？
K02_01_033|士道、怖い
K02_01_034|士道……離れたくない
K02_01_035|あなたはあれを倒してくればいい。　その間、私と士道は愛を育んでいる
K02_01_036|……いなくなった
K02_01_037|士道、無事？
K02_01_038|それ以前に女の子として落第点
Ori02_01_001_1|士道、どうしたの
Ori02_01_001|ゴミ捨て
Ori02_01_002|違う。靴箱の掃除
Ori02_01_003|そうなの？
Ori02_01_004|士道からの恋文以外は意味がない
Ori02_01_005|士道、私に用？
Ori02_01_006|……話だけ？
Ori02_01_007|ただ話すよりも、お互いにとって有益で密接な交渉方法がある
Ori02_01_008|そう
Ori02_01_009|……構わない。士道が元気になったのなら、それが一番大事
Ori02_01_010|……
Ori02_01_011|……？
Ori02_01_012|――私は、まだ納得したわけではない
Ori02_01_013|勘違いしないで。士道、あなたの言葉は信じたい。　だけど……五河琴里が〈イフリート〉でないという、　決定的な証拠があるわけではない
Ori02_01_014|私も、できればそうあってほしいと思っている
Ori02_01_015|士道の妹を……殺したくはない
Ori02_01_016|それは、こちらの台詞。　士道のお見舞いに行ったとき、何も変わらずに接してくれた。　……本当は、拒絶されるかもしれないと考えていた
Ori02_01_017|私は、あなたの妹を本気で殺そうとした……。　それは、変わらない事実
Ori02_01_018|…………
Ori02_01_019|士道
Ori02_01_020|……ありがとう
Ori02_01_021|……
Ori02_01_022|ん……
Ori02_01_023|なにって？
Ori02_01_024|それについては謝らせて欲しい。反省している
Ori02_01_025|……
Ori02_01_026|勘違いしないで。そんなことは思ってない
Ori02_01_027|ただ……
Ori02_01_028|浮気は、駄目
Ori02_01_029|私たちの未来は、誰にも邪魔させない
Ori02_01_030|私が言いたいのはそれだけ
Ori02_01_031|来て
Ori02_01_032|ここからなら、体育準備室が一番近い。　物陰なら、うまくすれば見つからない
Ori02_01_033|こっち
Ori02_01_034|なに？
Ori02_01_035|私は士道の命を危険に晒した。　その代償は、最早私の身体でしかはら――
Ori02_01_036|そう……
Ori02_01_037|……
Ori02_01_038|……？
Ori02_01_039|……本来なら、即刻、懲戒免職
Ori02_01_040|それも覚悟の上だった
Ori02_01_041|でも
Ori02_01_042|査問も正式な処分も、一時保留で延期された。　理由はわからない
Ori02_01_043|どうして、士道がそんな反応するの
Ori02_01_044|士道……
Ori02_01_045|それは謎。ＡＳＴからの連絡では、私も要領を得なかった。　しばらく基地への出入りや[顕現装置*リアライザ]の使用に制限が　かかると通達されたけど、自宅謹慎も早々に解かれた状態
Ori02_01_046|問題ない。士道が口外しなければ
Ori02_01_047|なに
Ori02_01_048|なぜそんなことを訊くの？
Ori02_01_049|……？
Ori02_01_050|そう
Ori02_01_051|……
Ori02_01_052|すー……はー……
Ori02_01_053|すー……はー……！　すー……はー……！
Ori02_01_054|くんかくんか……くんかくんか……
Ori02_01_055|あ……
Ori02_01_056|……士道も、嗅ぐ？
Ori02_01_057|なるほど
Ori02_01_058|私の服
Ori02_01_059|嗅いで
Ori02_01_060|……士道の、欲張りさん
Ori02_01_061|？
Ori02_01_062|シャツでは、満足できないというから
Ori02_01_063|そう。なら、もう一枚……
Ori02_01_064|問題ない。脱ぎたての風味は格別。きっと士道も満足できる
Ori02_01_065|下ろして
Ori02_01_066|ジッパー
Ori02_01_067|あ……
Ori02_01_069|……荷物、忘れてる
Ori02_01_070|中身は私が洗うから
Ori02_01_071|……園神凜祢に洗ってもらうの？
Ori02_01_072|……嫁だから
Ori02_01_073|なんでもない……じゃあまた
Ori02_01_075|……驚かせた？
Ori02_01_076|そう
Ori02_01_077|何も
Ori02_01_078|戻れない
Ori02_01_079|一人では戻れそうにない
Ori02_01_080|怖い
Ori02_01_081|怖い
Ori02_01_082|動けない
Ori02_01_083|足がすくんで、動けない
Ori02_01_084|怖い
Ori02_01_085|おんぶ
Ori02_01_086|おんぶ
Ori02_01_087|おんぶ
Ori02_01_088|……怖い
Ori02_01_089|だって……怖いから
Ori02_01_090|……？
Ori02_01_091|そう
Ori02_01_092|すーはー……すーはー……
Ori02_01_093|くんかくんか……
Ori02_01_094|……
Ori02_01_095|……怖すぎて覚えてない
Ori02_01_096|ちっ
Ori02_01_097|……言えない。あんなことをされたなんて
Ori02_01_098|……戻る
K02_02_001|その発言は耳に余る
K02_02_002|自分に与えられた責務を果たせない者に、　士道と過ごす権利はない
K02_02_003|士道と一緒の時間を過ごせるのは、球技祭で結果を残した人のみ
K02_02_004|あなたが勝負を降りるというなら、　終わった後に士道と過ごすのは……私
K02_02_005|頑張ったところで無意味。　なぜなら、結果は見えているようなもの
K02_02_006|勝手にすればいい……勝つのは私
K02_02_007|士道がそういうなら
K02_02_008|お礼なら必要ない。　あれ以上ホームルームを妨害されると、この後の進行に関わる
K02_02_009|士道。あーん
K02_02_010|あーん
K02_02_011|説明する義務はない。あーん
K02_02_012|私は自分の弁当を士道に分けているだけ。園神凜祢の弁当を　食べているあなたに、『あーん』をする資格はない
K02_02_013|論拠が不明瞭。仮にそれで士道が『あーん』をして、　彼が満足したとしても、その功績は園神凜祢のものであって、　あなたのものではない
K02_02_014|先に『あーん』したのは私。士道、あーん
K02_02_015|あーん
K02_02_016|あーん。あーん。あーん
K02_02_017|……！？
K02_02_018|その理屈はおかしい。　士道がこうなったのは、あなたの割り込みが原因
K02_02_019|………………
K02_02_020|園神、凜祢……強敵
K02_02_021|………………
Ori02_02_002|――っ！
Ori02_02_003|――くっ！
Ori02_02_004|――フッ！
Ori02_02_005|――つぅッ！
Ori02_02_007|……？
Ori02_02_008|平気。もしものときは人工呼吸する
Ori02_02_009|練習は必要？
Ori02_02_010|人工呼吸の
Ori02_02_011|そう
Ori02_02_012|……
Ori02_02_013|士道
Ori02_02_014|私を探していたの？
Ori02_02_015|私も、したかった
Ori02_02_016|士道と
Ori02_02_017|違う
Ori02_02_018|もっと気持ちのいいこと
Ori02_02_019|する？
Ori02_02_020|ここでなければ、いいということ？
Ori02_02_021|後片付け。球技祭の
Ori02_02_022|士道、何かあったの？
Ori02_02_023|そう
Ori02_02_024|ん……？
Ori02_02_025|本当？
Ori02_02_026|私は試合に負けた。士道といる権利はない
Ori02_02_027|……駄目ではない
Ori02_02_028|ん……
Ori02_02_029|これで……あそこからここまで、整地する
Ori02_02_030|頑張っても、負けたら意味がない
Ori02_02_031|……？
Ori02_02_032|……その気持ちはわかる。士道らしい
Ori02_02_033|……
Ori02_02_034|構わない。妹として仲がいいだけなら
Ori02_02_035|そして……〈イフリート〉が私の両親の[仇*かたき]でなければ
Ori02_02_036|整地完了。士道、手伝ってくれてありがとう
Ori02_02_037|トンボを返してくる
Ori02_02_038|士道がそういうなら
Ori02_02_039|士道の言うことは最優先事項
Ori02_02_040|こっち
Ori02_02_041|来て
Ori02_02_042|今なら視聴覚室か、機械室が無人
Ori02_02_043|練習。人工呼吸の
Ori02_02_044|……？　もっと激しいのがいいの？
Ori02_02_045|あ……
Ori02_02_001|……？
Ori02_02_046|士道、忘れ物……？
Ori02_02_047|別に、何も
Ori02_02_048|急に目眩がした
Ori02_02_049|今は六月。湿度が高い
Ori02_02_050|そういうもの
Ori02_02_051|……
Ori02_02_052|？
Ori02_02_053|構わない
Ori02_02_054|私に頼みごとをしにきたのではないの？
Ori02_02_055|用件は？　ちょうど、今なら誰もいない
Ori02_02_056|でも、優しくして
Ori02_02_057|私としたことが
Ori02_02_058|どうしたの？
Ori02_02_059|士道の意図を察せなくて申し訳なく思っている。　でも、今度は大丈夫。何も問題はない
Ori02_02_060|……？　そういう、プレイ？
Ori02_02_061|……
Ori02_02_062|そう
Ori02_02_063|デート？　士道と？
Ori02_02_064|断る理由などあるはずがない
Ori02_02_065|特に
Ori02_02_066|……あえて言うなら、ここ
Ori02_02_067|士道と一緒ならどこでもいい。　士道と二人きりなら、それはもうデートだから
Ori02_02_068|……どうしたの？
Ori02_02_069|落ち着かない様子
Ori02_02_070|先ほどの続きがしたいのなら、すぐにでも
Ori02_02_071|こんな状況って？
Ori02_02_072|士道？
Ori02_02_073|どういう意味？
Ori02_02_074|言わないのなら身体に聞――
Ori02_02_075|……そう
Ori02_02_076|別に
Ori02_02_077|詳しく
Ori02_02_078|……？
Ori02_02_079|結界？
Ori02_02_080|精霊が暴走……？
Ori02_02_081|……にわかには信じられない。そんな連絡は入ってない
Ori02_02_082|……士道、どうして私をデートに誘ったの？
Ori02_02_083|私が？
Ori02_02_084|？
Ori02_02_085|……わからない。まだ
Ori02_02_086|処分が保留になっているのは……。　今の士道の話が関係しているかもしれない
Ori02_02_087|それだけ大きい霊波をＡＳＴが見逃すはずがない
Ori02_02_087_2|おそらく、その対策に追われているせい。　パニックを防ぐために、情報開示せずに問題を未然に　解決しようとしているのかもしれない
Ori02_02_088|あれだけの規律違反を犯した私が、自宅謹慎を解かれ、　正式な処分も保留にされた。それは私も疑問だった……
Ori02_02_089|まだ基地への出入りは自由ではないけれど、[顕現装置*リアライザ]の使用も　『禁止』されてはいない。『自重』しろと言われただけ。　緊急時の人員として確保されている状況とみることもできる
Ori02_02_090|知りたい？
Ori02_02_091|そう
Ori02_02_092|情報提供感謝する。　おかげで、私の置かれている状況が見えてきた
Ori02_02_093|よかった
Ori02_02_104|……テスト勉強は、進んでいる？
Ori02_02_106|何でもない。それではまた
Ri02_02_001|……何？
Ri02_02_002|そう。なら、私で決まり
Ri02_02_003|……嫌なの？
Ri02_02_004|では、私で決まり
Ri02_02_005|これは決定事項。もう覆せない
Ri02_02_006|――園神凜祢も一緒ではないの？
Ri02_02_007|そういう話だと理解していた。　無論、私は士道と二人きりでも構わない。　むしろそちらの方が望ましい
Ri02_02_008|私はどこへでもついていく
Ri02_02_009|どうぞ、入って
Ri02_02_010|必要最低限のものしか置いていないから
Ri02_02_011|……大丈夫、もう慣れた。　とりあえず、ゆっくりしていって
Ri02_02_012|あ……
Ri02_02_013|……何でもない。多分、気のせい
Ri02_02_014|待っていて。着替えたら、お茶用意する
Ri02_02_015|どうぞ
Ri02_02_016|なに
Ri02_02_017|……私も士道に同じことを聞こうと思っていた
Ri02_02_018|やはり、士道も同じデジャヴを感じた？　……これは、ただごとじゃないかもしれない
Ri02_02_019|私たちは、以前もここで勉強している
Ri02_02_020|……？
Ri02_02_021|……ごめんなさい、少し失礼する
Ri02_02_022|お花摘み
Ri02_02_023|構わない……
Ri02_02_024|……何してるの？
Ri02_02_025|そう……
Ri02_02_026|…………
Ri02_02_027|問題ない。こちらこそ、きちんともてなせずに申し訳なかった
Ri02_02_028|……どちらの勉強？
Ri02_02_029|普通のテスト勉強？　それとも、別の勉強？
Ri02_02_030|こ――
Ri02_02_031|そう。残念……
Ri02_02_032|士道……私には、ここで同じように勉強した記憶がある
Ri02_02_033|この問題、士道の解答……多分、全く同じ。　士道とここで勉強したときと……
Ri02_02_034|……それは間違いない
Ri02_02_035|……それは、私にもわからない
Ri02_02_036|……何か、起こっているのかもしれない
Ri02_02_037|そう……
Ri02_02_038|問題ない。私も少し、気になることがある
Ri02_02_039|……士道
Ri02_02_040|また誘ってくれると嬉しい
To02_03_001|……
To02_03_002|おはよう
To02_03_003|士道！　夜刀神十香に何があったの？
To02_03_004|ここは危険！　士道はシェルターに行って！
To02_03_005|士道を置いてはいけない
To02_03_006|……
NoneAudio|……………………
Ori02_03_001|わかりました
Ori02_03_002|はい……
Ori02_03_003|……？
Ori02_03_004|……コーラス部の話
Ori02_03_005|入部はしていない。テスト明けにコーラス部の催しものがある。　それに欠員が出たから、私に埋めてくれないかという話
Ori02_03_006|わからない。コーラス部の顧問から、岡峰先生が頼まれた模様。　私なら卒なくこなしてくれると踏んだ様子
Ori02_03_007|考えてみる、とだけ返事しておいた。　譜面通りに歌うぐらいならできるから。士道は、どう思う？
Ori02_03_008|そう。士道がそういうのなら、そうする
Ori02_03_009|では、岡峰先生にその旨を伝えてくる
Ori02_03_010|がんばる
Ori02_03_011|……？
Ori02_03_012|そう。確かに……
Ori02_03_013|士道がそういうのなら、そうする
Ori02_03_014|では、岡峰先生にその旨を伝えてくる
Ori02_03_015|ありがとう
Ori02_03_016|Ave Maria, gratia plena; Domi　nus tecum;
Ori02_03_017|……誰？
Ori02_03_018|士道？
Ori02_03_019|私は譜面通りに歌えるだけ。うまくはない
Ori02_03_020|岡峰先生に頼まれたから
Ori02_03_021|テスト明けに、コーラス部が催しものを用意している。　しかし、それに欠員が出たらしく、コーラス部の顧問の先生が　岡峰先生に人員の補充を頼んだと思われる
Ori02_03_022|詳しくはわからない。私ならば卒なくこなせると踏んだのかもし　れない。とりあえず、考えておくと答えておいた
Ori02_03_023|士道は、校舎裏からずっと私のことを？
Ori02_03_024|構わない。私の方はいつも
Ori02_03_025|気にしないで
Ori02_03_026|士道は、どう思う？
Ori02_03_027|コーラス
Ori02_03_028|でも？
Ori02_03_029|そう
Ori02_03_030|わかった。士道がそういうなら
Ori02_03_031|では、岡峰先生にその旨を伝えてくる
Ori02_03_032|がんばる
Ori02_03_033|……士道？
Ori02_03_034|どうしたの
Ori02_03_035|構わない
Ori02_03_036|……ついてきて
Ori02_03_037|入って
Ori02_03_038|……？　家に帰ってきたから。着替えては駄目？
Ori02_03_039|わかった
Ori02_03_040|……
Ori02_03_041|…………
Ori02_03_042|士道がしたいことなら。なんでも
Ori02_03_043|士道のためなら、なんでもできる。　……恥ずかしいことも。痛いことも
Ori02_03_044|士道。言って
Ori02_03_045|命令して
Ori02_03_046|私に……して欲しいこと。全部。早く。言って？
Ori02_03_047|……？
Ori02_03_048|……する
Ori02_03_049|構わない。私は勉強している
Ori02_03_050|士道、大丈夫？
Ori02_03_051|そう。……でも、『ここ』で通信できる知り合いがいるのは、　驚き。誰？
Ori02_03_052|士道が言いたくないのなら、無理しないで。いつか話してくれれ　ば、それでいい
Ori02_03_053|……
Ori02_03_054|……？
