Ri06_06_002|あはは……来ちゃったんだね、士道
Ri06_06_003|ふふ……気付いてたんだね。　全部……士道の考えている通りだよ。　〈ルーラー〉は――私
Ri06_06_004|士道は……いつでも真っ直ぐだね。士道の言葉を聞いてると、　だんだんその方がいいかもって思っちゃう……
Ri06_06_005|でも……ごめんね、士道。　あなたの望む未来は、存在し得ないの――
Ri06_06_006|そんな風に言ってくれて嬉しかった……。　一緒にいたいって言ってくれて、幸せだなって思った……
Ri06_06_007|それでも私は……〈[凶禍楽園*エデン]〉を、この楽園を、　このまま終わらせるわけにはいかないッ！
Ri06_06_008|もう、戻れないってとっくに気付いてた。　いつかこうなってしまうことも……わかってたと思う。　だから、もういいの――さよなら、士道
Ri06_06_009|〈[凶禍楽園*エデン]〉――【[無へと帰す者*パラダイス・ロスト]】！
Ri06_06_010|あ、やっと起きた
Ri06_06_011|おはよう。大丈夫なの、士道？　なんだか酷い顔してるように見えるけど……
Ri06_06_012|それなら良かった……せっかくのお休みなんだし、　体調が悪かったりしたらもったいないもんね
Ri06_06_013|何言ってるの？　今日の約束、忘れてないよね？
Ri06_06_014|そうだよ、約束。すっごく大事な
Ri06_06_015|もちろん、決まってるじゃない
Ri06_06_016|デート、だよ？
Ri06_06_017|ねぇ士道、あれ食べない？
Ri06_06_018|士道、次どこ行こうか？
Ri06_06_019|デートだって言ったでしょ。まだまだ、本番はこれからだよ？
Ri06_06_020|いいからいいから！
Ri06_06_021|こうやって士道と二人で外食って、初めてじゃない？
Ri06_06_022|うぅー、惜しかったなぁ……
Ri06_06_023|ん？　どうしたの、士道？　何か嬉しいことでもあった？
Ri06_06_024|ふふ、そっか。私も凄く楽しいよ
Ri06_06_025|えっと、そろそろ日も暮れちゃいそうだけど……一つだけ、　行きたいところがあるんだ。いい？
Ri06_06_026|うん、そうだね。それには間に合うと思うから、大丈夫
Ri06_06_027|ふふ、風が気持ちいいね
Ri06_06_028|今日のデート、すっごく楽しかった。士道は？
Ri06_06_029|あはは……もしかして、はしゃぎ過ぎちゃった？
Ri06_06_030|ありがとう、士道。でも、思っちゃう……明日も明後日も、　来週も来月も……ずっと、こうしていられたらいいのにな、って
Ri06_06_036|え……？　どうして……？
Ri06_06_037|やっぱり私じゃ……本当の家族には、なれないんだね
Ri06_06_038|…………士道
Ri06_06_039|……私から〈[凶禍楽園*エデン]〉の制御が完全に離れた。　もうすぐ、暴走が始まる。そうなってしまえば、　この世界はどうなるか……
Ri06_06_040|……方法なら、あるよ
Ri06_06_041|――私を、封印して
Ri06_06_042|そうすれば、結界は消えてみんな元の世界に帰れる。　士道しか……士道にしか、できないことだよ
Ri06_06_043|……あは、は……やっぱり士道だ。　この期に及んでそこを心配しちゃうんだもんなぁ……
Ri06_06_044|大丈夫……きっと、上手くいくから
Ri06_06_045|うん……それがきっと、　みんなで一緒にいられる……唯一の、答え
Ri06_06_046|士道、悩んでる時間はもう……ないよ
Ri06_06_047|うん。――最後に、凄く幸せな夢を見れたから
Ri06_06_048|……そうだよ。〈[凶禍楽園*エデン]〉は役目を終えたの
Ri06_06_049|あはは……
Ri06_06_050|本当はね、私は……私だけは一緒に帰れないんだ
Ri06_06_051|嘘ついて……ごめんね。　そう……言わないと、士道はキスしてくれないと思って……
Ri06_06_052|ほら……私、士道のことはわかるんだ。幼馴染、だから……
Ri06_06_053|今までなんて、本当はなかったんだよ？　だからね、これからも――ないの
Ri06_06_054|士道が……たくさん教えてくれた。人には……苦しい記憶も　必要なんだって。それを乗り越えて……楽しい記憶を　もっと楽しいと思うようになるんだって
Ri06_06_055|大丈夫……言わなくていいよ。あはは……ごめんね。　――ん、あれ？　なんでかな……少し、士道の顔が見えにくいな
Ri06_06_056|そういう士道だって、涙でいっぱい……ふふ。　でも、そっか……これが、泣くってこと……なんだ。　今まで考えたこと、なかった
Ri06_06_057|――ねぇ、士道……ちょっとだけ、聞いてくれる？
Ri06_06_058|こうしているとね……士道と過ごした日々が、　とても愛おしく感じるの
Ri06_06_058_02|……だから、思うの。私の楽園は間違っていたかも　しれないけど……士道といられる日々は……偽りなく、　本当に――幸せだった……って
Ri06_06_059|ふふ……士道にこんなに想ってもらってるって……嬉しいなぁ。　でも、聞かれたらみんなに怒られちゃうかも……
Ri06_06_060|……じゃあ、みんなが聞いてない今のうちに……言っちゃいます
Ri06_06_061|私……ずっと、ずっとね？
Ri06_06_062|……好きだったよ、士道のこと――
Ri06_07_001|…………
Ri06_07_002|みんな……全てを忘れ……ううん、なかったことになった……。　世界から私という異物が消え……すべて元通りになる……
Ri06_07_003|これで……これで良かったんだよね、士道？
Ri06_07_004|……？
Ri06_07_005|……あなた、は…………
Ri06_07_006|………………
K06_01_001|……道……士道……
K06_01_002|……早く起き……じか……なっちゃう……よ……？
RK06_00_005|ふふ……起きた？
RK06_00_006|うん……おはよう士道
RK06_00_007|そ、そんなことないよ！　……士道こそ、ちょっとうなされてたみたいだけど、大丈夫？　ちゃんと起きれる？
RK06_00_008|よかった。朝ご飯作ってあるから、着替えたら降りてきてね
RK06_00_009|え？
K06_01_003|……ふふ、やっと起きた？
K06_01_004|おはよう士道。気持ちいい朝だね
K06_01_005|ちょっとうなされてたみたいだけど、大丈夫？　起きられそう？
K06_01_006|よかった。朝ご飯作ってあるから、着替えたら降りてきてね
K06_01_007|ふふ、ありがと。でも、そういうことばっかり言ってると、　軽く見られちゃうよ？
K06_01_008|そう言ってくれるのは嬉しいけど、　別に目標にされるほど立派なことはしてないってば
K06_01_009|それに、なにかになりたいとかじゃなくて、　士道は士道らしいのが一番じゃない？
K06_01_010|そんなことないってば。　私はね、士道にはいいところがいっぱいだと思うよ？
K06_01_011|――っ！？　あ、ううん、ひとりごとだよ……ひとりごと
RK06_00_010|……
RK06_00_011|ほ、ほら、こんなに喋ってたら遅れちゃうよ？　士道は起きて準備しないと！
K06_01_011|――っ！？　あ、ううん、ひとりごとだよ……ひとりごと
K06_01_012|ほら、こんなに喋ってたら遅れちゃうよ？　士道は起きて準備しないと
K06_01_013|きゃ！？　ちょ、ちょっと士道！　私がいるのに脱ぎ始めないでってば！
K06_01_014|い、いいから早くね！　私先に降りてるから！
K06_01_015|みんな席についたみたいだね。　それでは、どうぞ召し上がれ
K06_01_016|ふふ……十香ちゃんったら。そんなに褒めても何も出ないよ？
K06_01_017|え？　おかわり……？
K06_01_018|あ、そういうことね。大丈夫だよ、十香ちゃん。　ちゃんとおかわりは用意してるから。　でも、よく噛んで食べてね？
K06_01_019|あ、あははは……
K06_01_020|うん。四糸乃ちゃんもたくさん食べてね
K06_01_021|あ、四糸乃ちゃん熱いの苦手だよね。　お味噌汁、ちょっと冷ましておいたんだけど、大丈夫かな？
K06_01_022|も、もう……なんで今日はみんな褒めてくるのかな……？　そんなに言われると、照れちゃうよ……
K06_01_023|あ、違うの琴里ちゃん！　これは嬉しいからで、困ってるとかじゃ……
K06_01_024|本当？　喜んでもらえて、嬉しい
K06_01_025|あ、でも士道の足りなくなっちゃう。　私の、一個あげるね
K06_01_026|いいの、私がそうしたいんだから
K06_01_027|はい、士道。あ～ん
K06_01_028|ふふ、ありがと
K06_01_029|ちょ……ちょっとみんな？　ど、どうしよう士道……。　私、失敗しちゃった……かも
K06_01_030|士道、今度から目が浮つくの、気をつけた方がいいよ……？　誤魔化そうとしてるの、バレバレだから……
K06_01_031|よろしい
K06_01_032|もう、士道ってば……仕方ないなぁ
