901_04_02_012_28|りおは……[凜緒*りお]っていうなまえだよ？　園神、凜緒！
901_04_02_013_28|……それじゃあ、またね！
902_02_00_001_28|……パパっ！
902_02_00_002_28|きみ、じゃないよ？　りおだよ？
902_02_00_003_28|パパにあいたかったの！
902_02_00_004_28|えへへ……うれしい！　ぱーぱーとおーんなじー♪
902_02_00_005_28|まりな？　まりなはね、おそとがくらくなってから　きてくれるの！
902_02_00_006_28|うん、まりなはやさしいよ！　りおとね、いっしょにいてくれるから
902_02_00_007_28|でもね、パパといっしょだと……もーっとたのしいとおもう！　だからね、おさそいにきたの
902_02_00_008_28|そう、おさそい！　パパもりおのさがしもの、てつだってくれる？
902_02_00_009_28|そうだよ、いちばんだいじなもの！　りおはここで、ぜーったいにみつけないとだめなものなの
902_02_00_010_28|なになに、パパ？
902_02_00_011_28|どうして？　いつかしどうはりおのパパ。　パパはパパだよ？
902_02_00_012_28|どうしたの、パパ？　つかれちゃった？
902_02_00_013_28|うん。パパがつきあってくれるなら！
902_02_00_014_28|うん！
902_02_00_018_28|うん、わかった
902_02_00_019_28|うん
902_02_00_020_28|りんね？　りんねって、そのがみ……りんね？
902_02_00_021_28|あいたいッ！
902_02_00_022_28|あ……でも、あいたくない
902_02_00_023_28|うん、しってるよ。　パパのこととおなじくらい、いーっぱいしってるもん
902_02_00_024_28|そのがみりんねは、ママ。りおのママだから
902_02_00_025_28|そう、ママ！　パパにあえたから、ママにもあいたいなっておもったの
902_02_00_026_28|りおはね、ほんとはママにもあいにいこうとしたんだ。　でもね、まりながそれはだめだよっていったの。　りおはいいこだから、ちゃんとやくそくをまもってるんだよ
902_02_00_027_28|うん、する！　ぱーぱーとーおーさんぽー！　ぱーぱーといーしょにー！　おさーんぽー！
902_02_00_028_28|うん、こどもはげんきがいちばんってパパがまえにいったから
902_02_01_001_28|ねえ、パパ？
902_02_01_002_28|むこうから、じーっとみてるひとがいるよ？　いっぱいおだんごもって、すっごいくいしんぼうさんなのかな？
902_02_01_005_28|……たべられる。りお、たべられちゃうの？
902_02_01_006_28|……ほんと？
902_02_01_007_28|え？　りおしってるよ？　ときさ――
902_02_01_008_28|そうなの？　でもパパがそういうなら、わかった
902_02_01_010_28|うん、りんねはりおのま――
902_02_01_013_28|パパ、このひと……やとがみとおか？
902_02_01_014_28|どうして？　パパはパパでしょ？
902_02_01_017_28|そうだよ、パパはやさしいの！　すっごくすっごくやさしいんだよ
902_02_01_019_28|とおかちゃんは、すごくくいしんぼう
902_02_01_021_28|でも、それがとおかちゃんのいいところだもんね
902_02_01_023_28|じゃあ、とおかちゃんもいっしょにおさんぽ、する？
902_02_01_025_28|いいの？　とおかちゃんはいっぱいたべるんじゃないの？
902_02_01_027_28|うん、ありがとうとおかちゃん。　はむ……はむはむ。おいしい！
902_02_01_029_28|ほかにもおすすめがあるの？
902_02_01_031_28|おー、おいしそうだね
902_02_01_033_28|うん。とおかちゃんもパパといっしょでやさしいんだね
902_02_01_035_28|そういうところがなければだけどね
902_02_01_038_28|りお、そろそろいかなきゃ
902_02_01_039_28|うん、やくそくだから
902_02_01_040_28|たのしかったよ。すっごくたのしかった
902_02_01_042_28|それじゃ……またね、パパ、とおかちゃん
902_02_01_044_28|パパにいいわすれたこと、あった
902_02_01_045_28|きょうあいにくるなら、こうえんね？
902_02_01_046_28|ばいばい！
902_02_02_001_28|ねえ、パパ？
902_02_02_002_28|つけられてるよ？
902_02_02_004_28|いるよ？　うしろ
902_02_02_007_28|ねえ、パパ？　このひと、とびいちおりがみ？
902_02_02_010_28|パパはとびいちさんとけっこんしてたの？
902_02_02_011_28|ならちがうかんけい？　ないえんのつま？
902_02_02_013_28|うん、しってるよ？　あはは！　パパおもしろい！
902_02_02_014_28|うん、わかった！　はんしんはんぎでいいの？
902_02_02_016_28|ん？　だって、パパはパパだもん
902_02_02_019_28|りお！
902_02_02_021_28|ふふっ、ちょっとくすぐったいよ。　でも、じょうずだね、とびいちさん！
902_02_02_023_28|パパにおしえてもらったようなかんじ
902_02_02_025_28|りお、そろそろいかなきゃ
902_02_02_026_28|うん、やくそくだから
902_02_02_027_28|たのしかったよ。すっごくたのしかった
902_02_02_028_28|それじゃ……またね、パパ、とびいちさん
902_02_02_031_28|うん！　ふたりともさようなら！
902_02_02_032_28|パパにいいわすれたこと、あった
902_02_02_033_28|きょうあいにくるなら、こうえんね？
902_02_02_034_28|ばいばい！
902_02_03_001_28|パパ、のーぷらん？
902_02_03_006_28|パパ、よしのちゃんにことりちゃんだよね？　もしかして、いっしょにあそぶの？
