Ri01_06_001|心配したぞシドー！　大事はなかったか？
Ri01_06_002|う、うむ……飛ばされるまでの記憶はほとんどないのだが、　別に異常はない
Ri01_06_003|それにしても、なぜあの〈ルーラー〉とやらは、　シドーを狙っていたのだ？
Ri01_06_004|シドー……
Ri01_06_005|うむ！　手伝うぞ、シドー！
Ri01_06_006|うむ、無論だ！
Ri01_06_007|む！　それはどういう意味だ！　鳶一折紙！
Ri01_06_008|ぐぬぬぬっ！
Ri01_06_009|ぬ……！　す、すまぬ！
Ri01_06_010|[要*かなめ]というのは、あのタワー前のモニュメントのことだろう？
Ri01_06_011|琴里？　みんな行ってしまったが、私たちはどうするのだ？
Ri01_06_012|うむ！
Ri01_06_013|む！？　琴里！　その前に別のものが来るぞッ！？
Ri01_06_014|うむ！　任せるがいい！　シドー！　傍を離れるな！　〈[鏖殺公*サンダルフォン]〉！
Ri01_06_015|ぬう……敵が多すぎるぞ！　結界はまだ解けないのか！？
Ri01_06_016|う、うむ！　……っ！　シドーッ！
Ri01_06_017|シドー！　先に行けッ！
Ri01_06_018|行け！　シドー！　〈ルーラー〉を止めるのだろう！？
Ri01_06_019|む！　また出て来たぞ！
Ri01_06_020|気にするな。シドーを行かせるためには　二人で足止めをする他なかった！
Ri01_06_021|琴里！　全力でいくぞ！
Ri01_06_022|うむ！　シドーは決まって無茶をする男だからな！
Ri01_06_023|ここから先は一歩たりとも通さんッ！
Ri01_06_024|無事か！　シドー！
Ri01_06_025|気持ちはわかるが、止まるなシドー！
Ri01_06_026|シドーは〈ルーラー〉に話があるのだろう！？　四糸乃も琴里も大丈夫だ！　だから、シドーは私たちを信じて　先へ行け！！
Ri01_06_027|私が最後まで援護するぞ！
Ri01_06_028|うむ！　任された！
Ri01_06_029|危ない、シドー！！　くぅ……！
Ri01_06_030|私なら大丈夫だ、シドー……　だから、〈ルーラー〉に、会いに――
K01_01_129|うむ！
K01_01_067|ん？　大丈夫かシドー？
Ri01_07_003|すまん、シドー……無事で良かった
To01_01_044|…………むぅ
K01_01_050|う、うむ！
K01_01_063|ん？　どうしたのだシドー？
