K10_01_001|とうッ！
K10_01_002|おう、病み上がりのわりには今日も元気そうだな！
K10_01_003|何って、親友としての愛情表現に決まってるだろ？
K10_01_004|うぅ……だって！　朝っぱらから十香ちゃんと凜祢ちゃんを　侍らせて、イチャイチャしてるところを見せつけるんだもの。　嫉妬の炎で身が焦げそうになっちゃったわよ……グスン……
K10_01_005|あ、そう！　やっぱ凜祢ちゃんもそう思っちゃう？　それじゃあ、本格的に五河君と付き合っちゃうしかないな
K10_01_006|連れないこと言うなよ五河。　俺とおまえには『腐女子が選んだ校内べストカップル』で　第２位にランクインした華々しい実績だってあるんだぞ？
K10_01_007|ああ、ひどい……ひどいよ五河君。そうやって過去のすべてを　無かったことにして、何人もの男を切り捨ててきたのね！
K10_01_008|なはははは！　心配するな、俺は一向に気にしない！
K10_01_009|帰るわけにはいかないな……五河、今朝のニュースは見たか？
K10_01_010|今、天宮市からペットたちがいなくなって騒ぎになってるだろ？
K10_01_011|あれな……『[天狗牛*てんぐうし]』の祟りってヤツだぞ？
K10_01_012|むかーしむかしのその昔、天宮市の街がまだ影も形も　なかった頃の話なんだけどな……
K10_01_013|当時この近くにあった里山に、牛のような角を二本はやした　鼻の長いバケモノが住み着いたんだとさ
K10_01_014|その醜い姿を見かけた村人は、いつしかそいつを『[天狗牛*てんぐうし]』と　呼ぶようになったんだが……
K10_01_015|その『[天狗牛*てんぐうし]』が腹が減っては村里に下りてきて、　家畜や小さい子供なんかを襲って食べるもんだから、　村人は毎日嘆いて暮らしていたんだそうな……
K10_01_016|うん。村人たちもこのままでは『[天狗牛*てんぐうし]』に村が食いつぶされる！　どうにかしなきゃと相談を繰り返してたんだけど……みんな結局、　『[天狗牛*てんぐうし]』が怖くて何もできずにいたんだ
K10_01_017|そんな六月のある日――ふらりと一人のサムライが村を訪れた。　その風来坊のサムライは正義感が強く、困った村人を放っては　おけなかった
K10_01_018|サムライは一計を案じて、今度、『[天狗牛*てんぐうし]』が降りてきたら　俺に任せろと請け負った
K10_01_019|そして、村にあるだけの酒を用意させると、　みんなは家に引きこもって隠れててくれと言って、　『[天狗牛*てんぐうし]』が山から下りてくるのを一人で待ったんだ……
K10_01_020|その日――　六月十一日に『[天狗牛*てんぐうし]』は村に下りてきた
K10_01_021|その日の記録が残ってたんだ。サムライの遺書がな……
K10_01_022|まあ、慌てなさんなって。　村人たちが隠れ、シ～ンと静まり返った村の中で、　サムライは『[天狗牛*てんぐうし]』を呼び寄せて一緒に酒を飲もうと誘った
K10_01_023|『[天狗牛*てんぐうし]』は最初面食らった。　自分を恐れずに、一緒に酒を飲みたいという人間を見たのが　初めてだったんだろうな
K10_01_024|だけど、酒を飲み交わすうちに、『[天狗牛*てんぐうし]』はその飾らない　サムライの態度が気に入って、どんどん打ち解けていった
K10_01_025|サムライの方も誤算だった……
K10_01_025_2|話してみると『[天狗牛*てんぐうし]』はいいヤツで、　こっちに現れるようになったのも、自分が静かに暮らしてた山を　新しく住み着いた人間たちに、追い払われたからだったんだ
K10_01_026|さて……本当は『[天狗牛*てんぐうし]』を酒で酔わせ、簀巻きにして池に沈め　る作戦を立てていたサムライは、それを急きょとりやめて、　『[天狗牛*てんぐうし]』ととことん飲み明かすことにした
K10_01_027|旅は道連れ、世は情け――サムライはこれから一緒に　旅にでないかと『[天狗牛*てんぐうし]』を誘った。　一緒に諸国を漫遊しようではないかと
K10_01_028|そう、そのあまりに嬉しい申し出に『[天狗牛*てんぐうし]』も　驚きを隠せなかった。自分のようなバケモノを本気で旅に　誘ってくるヤツが、まさかいるとは思ってなかったんだろうな
K10_01_029|……自分は大食らいだ。それでもいいのか？　……それに自分は　こんな恐ろしいみてくれだし、自分と旅になんか出たら、　きっとおまえに迷惑をかけてしまうだろう。それでもいいのか？
K10_01_030|大きな背中を小さくして不安げに問いかける『[天狗牛*てんぐうし]』に、　サムライはそれでも俺は構わないと言って、　『一緒に来ないか？』と手を差し伸べたんだ
K10_01_031|『[天狗牛*てんぐうし]』はおんおんと泣きながら、その手を握り返した
K10_01_031_02|するとサムライが　『おい、あまり強く握るなよ、俺が壊れてしまうだろう？』　と言って、二人は最後にわははは！　と大声で笑いあったんだ
K10_01_032|やんもう！　五河ちゃんってば、せっかちさんなんだからん！
K10_01_033|五河くん、落ち着きたまえ。ここからが大変なんだから
K10_01_034|サムライと意気投合して飲みまくった『[天狗牛*てんぐうし]』は、　でかい図体してるくせに先に酔いつぶれてしまったんだ。　すると――
K10_01_035|それを知った村人たちがわらわらと現れて、サムライが立てた　作戦通り、寝てる『[天狗牛*てんぐうし]』をぐるぐると縛り上げて、　近くの池に沈めてしまったんだ
K10_01_036|もちろん作戦は中止だと言って、村人たちを止めようとした。　だけど、村人たちの中には、『[天狗牛*てんぐうし]』のせいで家族を　失った者もいたからね
K10_01_037|鬼のような形相をした村人たちは中止を叫ぶサムライを柱に縛り　付けて――
K10_01_037_02|サムライの見てる目の前でぐでんぐでんに酔った　『[天狗牛*てんぐうし]』を簀巻きにして、　ずるずると池まで引きずっていったんだ
K10_01_038|で、サムライに頼まれて用意してた筏に、　重しをつけた『[天狗牛*てんぐうし]』を乗せて、　池の真ん中に頭から放り投げたんだそうだ……
K10_01_039|その時――池の底から『ぐもぉぉぉぉおおおお……ッ！！』　という、『[天狗牛*てんぐうし]』の恐ろしい絶叫が辺り一帯に響いて――
K10_01_039_02|そしてそれっきり、　『[天狗牛*てんぐうし]』は二度と浮かび上がってくることはなかった……
K10_01_040|――すべてが終わって、縄から解き放たれたサムライも　そう思ったんだろうな……
K10_01_041|『本当のバケモノは他にいる……』と遺書に書き残して、　村人を次々と皆殺しにしたのち、自分も池に身を投げて　死んだそうだ……
K10_01_042|その日から一月の間、まるで盆をひっくり返したように　雨が降り続け、周りを山々に囲まれていた『[天狗牛*てんぐうし]』の里は、　一度完全に水の中に沈んだと言われている
K10_01_043|五河、駅の北側に池があるのは知ってるだろ？　あの池の底に『[天狗牛*てんぐうし]』が眠ってるって話だ
K10_01_044|だから池の周りに、『[天狗牛*てんぐうし]』の魂を鎮めるための祠が　建立されていて、六月十一日には、みんなその祠にお供えする　のが決まりになってんだよ
