Ri03_06_001|は……はいっ！　し、士道さんが無事で、よかった……です
Ri03_06_002|し、士道……さん……っ！
Ri03_06_003|〈ルーラー〉さんを……よろしく、お願いします。　わ、私も……出来る限り手伝いますから……っ！
Ri03_06_004|お、覚えて……ます……っ！　し、士道さんと……い、一緒……だったこと……
Ri03_06_005|は、はい……っ！　や、やって……みますっ！
Ri03_06_006|し、士道……さん！　い、いってき……ます……っ！
Ri03_06_007|は、はい……っ！　あ、あのっ！
Ri03_06_008|か、必ず……っ！　成功……させ、ますっ！
Ri03_06_009|あ……！　よ、よしのんっ！？　あれ……っ！
Ri03_06_010|う、うん……っ、〈[氷結傀儡*ザドキエル]〉……っ！
Ri03_06_011|う……うん……っ！
Ri03_06_012|う……うぅ……っ！
Ri03_06_013|う……うん……っ！　わ、私……っ、頑張る……っ！
Ri03_06_014|う、うん……ッ！
Ri03_06_015|〈[氷結傀儡*ザドキエル]〉！　い……っ、いっけぇぇー……っ！！
Ri03_06_016|はぁ……はぁ……はぁ……はぁ……
Ri03_06_017|よ、よしのんの……お陰だよ……っ！　ありが……とう……っ！
Ri03_06_018|う……うん……っ！　し、士道さん……大丈夫、かな……？
Ri03_06_019|うん……！　そ、そうだよね……っ！
Ri03_06_020|だ、大丈夫……ですか……っ！　士道……さん……っ！
Ri03_06_021|はぁ……はぁ……
Ri03_06_022|……う、うん！　まだ、頑張れ……ッ！？
Ri03_06_023|……しど、う、さん…………
K03_01_001|し、士道さん……っ、おはよう、ございますっ
K03_01_002|は……はいっ
K03_01_003|……
K03_01_004|………………
K03_01_005|は、はい……！？
K03_01_006|……わかり、ました
K03_01_007|あ、あの、いっ、いただき……ます……っ！
K03_01_008|は、はい……っ！
K03_01_009|あっ、ありがとう……ございます……っ
K03_01_010|……よ、よしのんっ！？
K03_01_011|あ……私も、してみたい、です……
K03_01_012|わ、わたしも……です
K03_01_013|わ、わたしも……です
K03_01_014|と、十香……さん！　む、無理しちゃ……駄目ですっ！
K03_01_015|十香、さん……偉い、です！
K03_01_016|こ、琴里さん……！　だ、大丈夫……です、か？
K03_01_017|……あ、あの……私は、こ、これです……っ！
K03_01_018|え、ええっと……
K03_01_019|う、うん……
K03_01_020|た、たくさん……声をかけて、みたんですけど……。　お話……してくれなくて……
K03_01_021|……一人だと、寂しいです、から
K03_01_022|は、はい……！
K03_01_023|……な、なにか……でるんです、か……？
K03_01_024|……っ……！
K03_01_025|し、士道……さん……っ！？
K03_01_026|う、うぇぇぇぇぇぇぇぇぇぇぇ……っ！！！！
K03_01_027|う、うぇぇ……し、士道……さん……
K03_01_028|うぇ……ぇ……。　あ、ありがとう……ございます……
Ko03_01_001|私も……いつでも、出られ、ます……
Ko03_01_002|見つかって……良かった、です……
Yo03_01_001|し、士道、さん…っ
Yo03_01_002|い、いえ……うれしい、です
Yo03_01_003|え？
Yo03_01_004|……！？　あ、あの……ご、ごめん、なさい！　私、見るつもりは……なかったんです、けど……
Yo03_01_005|…………
Yo03_01_006|……！？　あ、あの……ご、ごめん、なさい！　私、見るつもりは……なかったんです、けど……
Yo03_01_007|は、はい……
Yo03_01_008|ほ、本当は……もっと、早く準備したかったんです、けど……
Yo03_01_009|よ、よしのんは、悪く……ない、ですっ！
Yo03_01_010|……え？　あ、えっと……
Yo03_01_011|……………………。　…………………………。　……………………えっと……
Yo03_01_012|あ……は、はいっ！
Yo03_01_013|…………
Yo03_01_014|あ……あの……
Yo03_01_015|は、はい……あの、ダメ、ですか？
Yo03_01_016|……はいっ！
Yo03_01_017|うわー……
Yo03_01_018|……士道さんは……この道具を使って……料理を、　作ってるんです、よね？
Yo03_01_019|……凄い、です
Yo03_01_020|……………………
Yo03_01_021|あの……これは、なんですか？
Yo03_01_022|もっと……おいしい……？
Yo03_01_023|そ……そうなんです、か……
Yo03_01_024|……こ、これは？　こっちは……何ですか？
Yo03_01_025|……そう、ですか……。　そ、それじゃ……こっちの、これは……？
Yo03_01_026|あ……す、すみません……
Yo03_01_027|……あ、ありがとうございます……！
