003_01_00_004_23|首肯。耶倶矢の言う通りです。　納得のいく説明を求めます
003_01_00_010_23|解説。耶倶矢はやきもちを焼いています
003_01_00_012_23|同情。耶倶矢には押しつけるものもありませんしね
003_01_00_014_23|訂正。ちょっとではありません。だいぶ、です
003_01_00_018_23|同調。耶倶矢の言う通りです。　三人で、美味しいと評判のケーキ屋さんに行きましょう
003_02_01_002_23|疑念。なぜ十香を選択するのですか。　説明を求めます
003_02_02_003_23|嫉妬。マスター折紙は確かに素晴らしい方ですが、　なぜ耶倶矢と夕弦を選んでくれないのです？
003_02_03_003_23|推奨。士道は夕弦たちとともに過ごすべきです
003_02_03_009_23|推察。士道は逃げようとしています
003_02_04_003_23|勧告。観念してください、士道。　士道は耶倶矢と夕弦の所有物なのです
003_02_05_003_23|催促。早く選んでください、士道。　耶倶矢と夕弦の手をその両手に取ればいいのです
003_02_10_003_23|解説。耶倶矢は一緒に来たらジュースをおごる　と言っています
003_02_10_018_23|宣告。地獄の果てまで追い詰めまーす
003_02_11_003_23|同感。士道には、耶倶矢と夕弦がお伴します
003_02_24_002_23|不服。士道はやはり美九を選ぶというのですか
003_02_28_003_23|勧誘。さあ士道。こちらへ来るのです
003_02_28_007_23|逃亡。士道が逃走を図りました
003_02_28_019_23|指摘。耶倶矢、それでは意味がわかりません
003_02_50_002_23|当然。士道は耶倶矢と夕弦の所有物です
003_02_50_010_23|了解。この場から離脱するのですね
003_02_50_013_23|解説。耶倶矢はくっつきたいので離れたくないと言っています
003_02_50_014_23|心外。これは不可抗力です。　夕弦は耶倶矢と違ってボリュームがあるので、仕方ありません
003_02_50_016_23|反論。接近している距離は同じです。これにより　士道が二人の所有物であるという平等性は保たれています。　接している面積の違いは耶倶矢個人の問題です
003_02_50_018_23|進言。士道、諦めてください
003_02_50_020_23|解説。耶倶矢はどこへ行くか別に決めてないと言っています
003_02_50_021_23|賛成。駅の向こうにあるカフェはどうでしょうか
003_02_50_024_23|説明。士道、耶倶矢はトイレに行きたいそうです
003_02_50_026_23|提案。士道の面倒は夕弦が見ておきますから　耶倶矢はトイレなり何なり行ってきたらいいと思います
003_02_50_028_23|一蹴。夕弦はここを離れる理由がありません
003_02_50_030_23|結論。士道と夕弦も一緒にトイレに行きましょう
003_02_50_031_23|再会。お待たせしました、士道
003_02_50_033_23|当然。耶倶矢と夕弦は元々一つですから
003_02_50_036_23|愚問。どちらでも別に構いませんがスレンダーな耶倶矢よりも　夕弦の方が姉にふさわしいです
003_02_50_038_23|宣言。一番わかりやすい方法です
003_02_50_040_23|承知。どちらがより姉らしいか勝負しましょう
003_02_50_042_23|冷笑。逃げるのですか、耶倶矢？
003_02_50_043_23|不服。……仕方ないですね。　今はそっちの方が大事です
003_02_59_003_23|検索。このあたりにおいしいケーキ屋があります。　士道、夕弦たちがそこに連れて行ってあげましょう
003_02_59_019_23|推論。何か悪い物でも食べたのではないでしょうか
004_00_00_009_23|要求。お腹が空いたので手短にすませましょう
004_00_00_033_23|同意。しっかり頭に焼き付けておきましょう
004_00_00_074_23|驚嘆。遅刻遅刻～とパンを咥えて走っていたところ、　ぶつかってしまいました。これは、ぶつかってしまった　夕弦にとって運命の出会いでしょう
004_00_00_076_23|否定。夕弦の方が先にぶつかりました。　ですから、運命の出会いをしたのは夕弦です、耶倶矢
004_00_00_078_23|指摘。速度もタイミングも同時でした。　そうなれば、後は体型の差で勝負が決まります。　耶倶矢の少々貧相な胸より、夕弦の胸が先に当たるのは当然です
004_00_00_080_23|憤慨。重いとは、言ってはならないことを言いましたね。　いくら可愛くて完璧な耶倶矢でも、それは禁句です
004_00_00_082_23|質問。士道はどちらが先に当たったと認識していますか？
004_00_00_083_23|納得。私と耶倶矢ならば、　同時という奇跡的なタイミングもありうるでしょうね
005_00_00_038_23|……不安。　夕弦も同じ気持ちです、耶倶矢
005_00_00_057_23|疑問。どういう意味ですか
007_00_00_026_23|首肯。人工精霊だかなんだか知りませんが、　士道を渡すつもりはありません
008_00_00_015_23|反論。この仮想世界を支配しているあなたにとって、　士道は人質以外のなにものでもありません
008_00_00_042_23|指摘。それは夕弦のことではありませんか。　今聞かれているのは、士道のことです
008_00_00_047_23|回答。　自分よりも相手を優先することです
008_00_00_075_23|肯定。士道と愛を育める時間は限られています。　先手必勝のはずです
010_02_00_062_23|提案。私たちと一緒に、昼食にしましょう
011_03_50_003_23|推測。耶倶矢、どうやらそれはすでに終わっているようです。　これは現実の教室です
011_03_50_005_23|肯定。その通りです
011_03_50_007_23|疑問。夕弦たちはともかく、なぜ士道が　夢の内容を知っているのです？
011_03_50_010_23|制止。待ってください耶倶矢。　夕弦を置いて行かないでください
013_05_50_002_23|助言。まだ始まったばかりです。　焦るには早いと思います
013_05_50_003_23|指摘。夕弦は確かに耶倶矢を愛していますが、　それは男女の愛とは異なるような気がします
013_05_50_005_23|解説。野球のバッテリーのような関係と言いたいようです。　あるいはそのような信頼関係が、男女関係にもあるのでは？　互いが互いを支えあう、というような
013_05_50_006_23|難問。夕弦にはわかりかねます
013_05_50_008_23|賛成。トランプですね。　夕弦たちの力を魅せつけてやりましょう
013_05_92_038_23|確認。コップ類はここでいいですか？
